"99087897877","FIAT","Toro","","2020","86202.60",,"2020-06-21 17:19:24"
"13121232333","HONDA","Accord","2020","2020","",,"2020-06-21 17:19:24"
"","","","","","",,"2020-06-21 17:19:24"
"","","Honda","","","",,"2020-06-21 17:19:24"
"","","","","","",,"2020-06-21 17:19:24"
"","","HB20","","","",,"2020-06-21 17:19:24"
"36545645347","VOLKSWAGEN","2020","2020","54990.00","",,"2020-06-21 17:19:24"
"99087897877","FIAT","Toro","","2020","86202.60",,"2020-06-21 17:19:24"
"13121232333","HONDA","Accord","2020","2020","",,"2020-06-21 17:19:24"
"","","","","","",,"2020-06-21 17:19:24"
"","","Honda","","","",,"2020-06-21 17:19:24"
"","","","","","",,"2020-06-21 17:19:24"
"","","HB20","","","",,"2020-06-21 17:19:24"
"36545645347","VOLKSWAGEN","2020","2020","54990.00","",,"2020-06-21 17:19:24"
